wavelength_nm,intensity_arb
939.6984924623116,0.4647454911921346
951.2562814070352,0.45257344792365545
962.8140703517588,0.44071715727031147
974.3718592964825,0.4291723321163715
985.9296482412061,0.4179342224392693
997.4874371859297,0.4069976902164446
1009.0452261306533,0.39635727621656897
1020.6030150753769,0.38600725944706404
1032.1608040201006,0.3759417099640894
1043.7185929648242,0.36615453568993045
1055.2763819095478,0.35663952382585934
1066.8341708542714,0.3473903773959564
1078.391959798995,0.3384007474088593
1089.9497487437186,0.3296642610797646
1101.5075376884424,0.32117454651403066
1113.065326633166,0.3129252542161757
1124.6231155778896,0.30491007575372187
1136.1809045226132,0.2971227598739724
1147.7386934673368,0.2895571263432065
1159.2964824120604,0.2822070777517323
1170.854271356784,0.27506660950453105
1182.4120603015076,0.26812981819570414
1193.9698492462312,0.2613909085453681
1205.5276381909548,0.2548441990599156
1217.0854271356784,0.24848412656047747
1228.643216080402,0.24230524970986317
1240.2010050251256,0.23630225165507382
1251.7587939698494,0.23046994189055936
1263.316582914573,0.22480325743661544
1274.8743718592966,0.21929726341757508
1286.4321608040202,0.21394715311565507
1297.9899497487438,0.20874824756838434
1309.5477386934674,0.20369599477037473
1321.105527638191,0.19878596853374297
1332.6633165829146,0.1940138670556723
1344.2211055276382,0.18937551123635854
1355.7788944723618,0.1848668427858692
1367.3366834170854,0.18048392215419168
1378.8944723618092,0.17622292631493125
1390.4522613065328,0.17208014642967723
1402.0100502512564,0.16805198541697566
1413.56783919598,0.1641349554470676
1425.1256281407036,0.16032567538106832
1436.6834170854272,0.15662086817102397
1448.2412060301508,0.15301735823528648
1459.7989949748744,0.1495120688218478
1471.356783919598,0.14610201937067224
1482.9145728643216,0.1427843228846261
1494.4723618090452,0.13955618331732172
1506.030150753769,0.13641489298504167
1517.5879396984926,0.1333578300088904
1529.1457286432162,0.13038245579240063
1540.7035175879398,0.1274863125390173
1552.2613065326634,0.12466702081315142
1563.819095477387,0.12192227714785965
1575.3768844221106,0.11924985170163317
1586.9346733668342,0.11664758596627635
1598.4924623115578,0.11411339052741067
1610.0502512562814,0.11164524287874524
1621.6080402010052,0.1092411852909107
1633.1658291457288,0.10689932273534988
1644.7236180904524,0.1046178208634907
1656.281407035176,0.10239490404119911
1667.8391959798996,0.10022885343830497
1679.3969849246232,0.09811800517282007
1690.9547738693468,0.09606074850931973
1702.5125628140704,0.09405552411082768
1714.070351758794,0.09210082234343674
1725.6281407035176,0.09019518163280478
1737.1859296482412,0.08833718687158933
1748.743718592965,0.08652546787681961
1760.3015075376886,0.08475869789615466
1771.8592964824122,0.08303559216193418
1783.4170854271358,0.08135490649189886
1794.9748743718594,0.07971543593543202
1806.532663316583,0.07811601346416035
1818.0904522613066,0.07655550870574032
1829.6482412060302,0.07503282671965454
1841.2060301507538,0.0735469068138423
1852.7638190954774,0.07209672140099378
1864.3216080402012,0.07068127489334704
1875.8793969849248,0.06929960263483816
1887.4371859296484,0.0679507698694694
1898.994974874372,0.06663387074477828
1910.5527638190956,0.06534802734930857
1922.1105527638192,0.06409238878300459
1933.6683417085428,0.06286613025947221
1945.2261306532664,0.06166845223907344
1956.78391959799,0.06049857959184407
1968.3417085427136,0.0593557607892487
1979.8994974874372,0.058239267123812714
1991.457286432161,0.057148391955695
2003.0150753768846,0.056082449985291265
2014.5728643216082,0.055040776550982586
2026.1306532663318,0.054022726951169484
2037.6884422110554,0.053027675789756805
2049.2462311557792,0.052055016344279545
2060.8040201005024,0.05110415995588515
2072.3618090452264,0.05017453544041029
2083.9195979899496,0.04926558851981718
2095.4773869346736,0.048376781273274196
2107.035175879397,0.047507591607192784
2118.592964824121,0.04665751274355081
2130.1507537688444,0.04582605272585936
2141.708542713568,0.04501273394214692
2153.2663316582916,0.044217092664359865
2164.824120603015,0.043438678603595814
2176.381909547739,0.04267705448060819
2187.9396984924624,0.04193179561103884
2199.497487437186,0.041202489504854556
2211.0552763819096,0.04048873547948196
2222.613065326633,0.03979014428615261
2234.170854271357,0.039106337748987606
2245.728643216081,0.03843694841636774
2257.286432160804,0.03778161922415106
2268.8442211055276,0.03714000317031564
2280.402010050251,0.036511763000620596
2291.959798994975,0.03589657090489257
2303.517587939699,0.03529410822355945
2315.0753768844224,0.03470406516406671
2326.633165829146,0.03412614052682469
2338.1909547738696,0.03356004144034804
2349.7487437185932,0.0330054831052614
2361.306532663317,0.032462188546855904
2372.8643216080404,0.03192988837589424
2384.422110552764,0.0314083205573716
2395.9798994974876,0.03089723018695151
2407.537688442211,0.03039636927480535
2419.095477386935,0.029905496536594103
2430.6532663316584,0.029424377191341174
2442.211055276382,0.02895278276595336
2453.7688442211056,0.028490490906156726
2465.326633165829,0.02803728519362221
2476.884422110553,0.02759295496906411
2488.4422110552764,0.02715729516110278
2500.0,0.0267301061206901
